organism_name,description
Erythroxylum roraimae,"Erythroxylum roraimae is a coca plant species found in South America. It is recognized for its occurrence on Mount Roraima and, like other Erythroxylum species, contains alkaloids, including those with stimulant properties."
Erythroxylum roigii,"Erythroxylum roigii is a coca plant species native to South America. It is characterized by its unique leaf morphology and, like other Erythroxylum species, contains alkaloids with potential pharmacological effects."
Bursera bipinnata,"Bursera bipinnata, commonly known as the torchwood, is a species of tree native to the southwestern United"
Erythroxylum fimbriatum,"Erythroxylum fimbriatum is a plant species belonging to the coca genus native to South America. It is characterized by its fimbriate (fringed) leaves and, like other Erythroxylum species, contains alkaloids."
Erythroxylum platyclados,"Erythroxylum platyclados is a coca plant species found in South America. It is recognized for its flattened stems and elliptical leaves, and like other members of the Erythroxylum genus, it produces alkaloids."
Rosaceae sp.,"Rosaceae sp. refers to an unspecified species within the rose family (Rosaceae). The Rosaceae family includes a diverse group of flowering plants, such as roses, strawberries, and apples."
Solanum chaucha,"Solanum chaucha is a species within the Solanum genus, which includes nightshades and potatoes. Specific characteristics and uses of Solanum chaucha would depend on the particular species."
Dryas octopetala,"Dryas octopetala, commonly known as mountain avens, is a flowering plant found in Arctic and alpine regions. It is known for its white flowers and is adapted to harsh, rocky environments."
Erythroxylum haughtii,"Erythroxylum haughtii is a coca plant species native to South America. It is recognized for its unique characteristics, and like other Erythroxylum species, it contains alkaloids with potential pharmacological effects."
Dyckia ibiramensis,"Dyckia ibiramensis is a species of bromeliad, known for its rosette of spiky leaves. Bromeliads are often found in tropical and subtropical regions."
Erythroxylum coca,Erythroxylum coca is a coca plant species with historical significance due to the traditional use of its leaves for their stimulant properties. Indigenous cultures have utilized it for various purposes.
Dryas alaskensis,Dryas alaskensis is a species of flowering plant within the Dryas genus. It is found in cold regions and is known for its adaptation to Arctic and subarctic environments.
Adansonia digitata,"Adansonia digitata, commonly known as the baobab tree, is native to Africa and known for its distinctive swollen trunk. It has cultural and ecological significance in its native regions."
Darlingtonia californica,"Darlingtonia californica, also called the California pitcher plant or cobra plant, is a carnivorous plant native to North America. It attracts and traps insects in its pitcher-like structure."
Erythroxylum hondense,"Erythroxylum hondense is a coca plant species found in South America. It is recognized for its specific characteristics, and like other Erythroxylum species, it contains alkaloids with potential pharmacological effects."
Erythroxylum carthagenense,"Erythroxylum carthagenense is a coca plant species native to South America. It is characterized by specific features, and like other members of the Erythroxylum genus, it contains alkaloids."
Erythroxylum tenue,"Erythroxylum tenue is a plant species within the coca genus, native to South America. Recognized for its specific characteristics, it, like other Erythroxylum species, contains alkaloids."
Fraxinus angustifolia subsp. syriaca,"Fraxinus angustifolia subsp. syriaca, commonly known as the Syrian ash, is a subspecies within the Fraxinus angustifolia species. It is native to southeastern Europe and southwestern Asia, featuring narrow leaves and a slender habit."
Lophocereus schottii,"Lophocereus schottii, also known as the senita cactus, is a species of columnar cactus native to the Sonoran Desert. It has a branching, columnar growth form and is adapted to arid environments."
Isatis lusitanica,"Isatis lusitanica is a plant species belonging to the Isatis genus. Native to the Iberian Peninsula, it is recognized for its distinctive leaves and is part of the Brassicaceae family."
Erythroxylum cassinoides,"Erythroxylum cassinoides is a plant species within the coca genus found in South America. Like other members of the Erythroxylum genus, it contains alkaloids with potential pharmacological effects."
Quercus bicolor,"Quercus bicolor, commonly known as the swamp white oak, is a deciduous tree native to eastern North America. It is characterized by its lobed leaves and is adapted to wetland habitats."
Rubia peregrina,"Rubia peregrina, also known as the wild madder, is a herbaceous plant belonging to the Rubia genus. It is native to Europe and is known for its climbing or trailing growth habit."
Fraxinus greggii,"Fraxinus greggii, commonly known as the Gregg's ash, is a species of ash tree native to southwestern North America. It is recognized for its pinnately compound leaves and is part of the Oleaceae family."
Erysimum pusillum,Erysimum pusillum is a species of wallflower native to Europe and Asia. It is characterized by its small size and bright yellow flowers.
Fraxinus sp. 1973-6204,"Fraxinus sp. 1973-6204 refers to an unspecified species within the Fraxinus genus, identified by a specific code (1973-6204). Further details about this particular species would depend on the specific identification."
Croton laevigatus,"Croton laevigatus, also known as the smooth croton, is a species of flowering plant native to tropical regions. It is recognized for its smooth leaves and diverse growth forms."
Fraxinus dipetala,"Fraxinus dipetala, commonly known as the California ash, is a species of ash tree native to California and southwestern Oregon. It is characterized by its compound leaves and winged seeds."
Erythroxylum minutifolium,"Erythroxylum minutifolium is a coca plant species found in South America. It is recognized for its specific characteristics, and like other members of the Erythroxylum genus, it contains alkaloids."
Rubia balearica,"Rubia balearica is a species of madder native to the Balearic Islands in the Mediterranean. It is known for its climbing or trailing growth habit and small, yellowish-green flowers."
Silene coronaria,"Silene coronaria, commonly known as rose campion or dusty miller, is a herbaceous perennial native to southeastern Europe. It is cultivated for its attractive silver-gray foliage and magenta flowers."
Tagetes patula,"Tagetes patula, also known as the French marigold, is an annual plant native to Mexico. It is cultivated for its bright orange or yellow flowers and is often used as an ornamental plant."
Poaceae sp.,"Poaceae sp. refers to an unspecified species within the grass family Poaceae. The Poaceae family includes a vast number of grass species, including important food crops and ornamental grasses."
Biscutella auriculata,"Biscutella auriculata is a species of flowering plant belonging to the mustard family (Brassicaceae). It is native to Europe and is recognized for its distinctive leaves and small, white flowers."
Thalictrum thalictroides,"Thalictrum thalictroides, commonly known as rue anemone or wood anemone, is a herbaceous perennial native to North America. It is recognized for its delicate, fern-like leaves and small, white flowers."
Vitis cinerea x Vitis riparia,"Vitis cinerea x Vitis riparia refers to a hybrid between Vitis cinerea (downy grape) and Vitis riparia (riverbank grape), both of which are native to North America. The hybrid may exhibit characteristics from both parent species."
Solanum oplocense x Solanum tuberosum,Solanum oplocense x Solanum tuberosum refers to a hybrid between Solanum oplocense and Solanum tuberosum (potato). Hybridization may result in plants with a combination of traits from both parent species.
Macaranga tanarius,"Macaranga tanarius is a species of flowering plant in the spurge family (Euphorbiaceae), native to Southeast Asia. It is recognized for its lobed leaves and is often found in disturbed habitats."
Hura crepitans,"Hura crepitans, commonly known as the sandbox tree or monkey's dinner bell, is a tropical tree native to the Americas. It is known for its explosive fruit pods and is part of the Euphorbiaceae family."
Viola pubescens var. scabriuscula,"Viola pubescens var. scabriuscula is a variety of the downy yellow violet (Viola pubescens), a perennial herb native to North America. It is recognized for its yellow flowers and pubescent leaves."
Eugenia klotzschiana,"Eugenia klotzschiana is a species of flowering plant in the myrtle family (Myrtaceae), native to Brazil. It is recognized for its attractive foliage and may produce edible fruits."
Flaveria brownii,"Flaveria brownii is a species of flowering plant in the sunflower family (Asteraceae), native to the southeastern United States. It is known for its yellow"
Solanum commersonii x Solanum andigenum,"Solanum commersonii x Solanum andigenum is a hybrid between Solanum commersonii and Solanum andigenum. The resulting plant may exhibit a combination of traits from both parent species, and it is likely to belong to the Solanaceae family."
Solanum tarnii x Solanum tuberosum,"Solanum tarnii x Solanum tuberosum is a hybrid between Solanum tarnii and Solanum tuberosum (potato). Hybridization may result in plants with a combination of traits from both parent species, and it is likely to belong to the Solanaceae family."
Stenocereus thurberi,"Stenocereus thurberi, commonly known as the organ pipe cactus, is a species of columnar cactus native to Mexico and the United States. It is recognized for its tall, cylindrical stems and is adapted to arid environments."
Iris virginica,"Iris virginica, also known as the southern blue flag, is a species of iris native to eastern North America. It is recognized for its attractive blue to violet flowers and is part of the Iridaceae family."
Erythroxylum domingense,"Erythroxylum domingense is a plant species within the coca genus, native to the Dominican Republic. Like other members of the Erythroxylum genus, it contains alkaloids with potential pharmacological effects."
Solanum x curtilobum,"Solanum x curtilobum is a hybrid species resulting from the cross between two Solanum species. The characteristics of this hybrid are determined by the genetic contributions of both parent species, and it is likely to belong to the Solanaceae family."
Erythroxylum coriaceum,"Erythroxylum coriaceum is a plant species within the coca genus found in South America. Like other members of the Erythroxylum genus, it contains alkaloids with potential pharmacological effects."
Kewa caespitosa,"Kewa caespitosa, commonly known as the rock daisy, is a species of flowering plant native to New Zealand. It is recognized for its tufted growth habit and is part of the Asteraceae family."
Lepidium campestre,"Lepidium campestre, also known as field pepperweed, is a species of flowering plant in the mustard family (Brassicaceae). It is native to Europe and Asia and is recognized for its slender stems and small white flowers."
Pachycereus pringlei,"Pachycereus pringlei, commonly known as the cardón, is a species of columnar cactus native to northwestern Mexico. It is the tallest cactus species and is adapted to arid environments."
Erythroxylum raimondii,"Erythroxylum raimondii is a coca plant species found in South America. It is recognized for its specific characteristics, and like other members of the Erythroxylum genus, it contains alkaloids."
Rubia occidens,"Rubia occidens is a species of madder native to the western United States. It is known for its climbing or trailing growth habit and small, yellow flowers."
Flaveria floridana,"Flaveria floridana is a species of flowering plant in the sunflower family (Asteraceae), native to Florida. It is recognized for its yellow flowers and is part of the Flaveria genus."
Fraxinus latifolia,"Fraxinus latifolia, commonly known as the Oregon ash, is a species of ash tree native to western North America. It is characterized by its compound leaves and is part of the Oleaceae family."
Heliamphora ciliata,Heliamphora ciliata is a species of pitcher plant native to Venezuela. It is recognized for its carnivorous pitcher-shaped leaves and is part of the Sarraceniaceae family.
Erythroxylum dillonii,"Erythroxylum dillonii is a plant species within the coca genus, native to Colombia. Like other members of the Erythroxylum genus, it contains alkaloids with potential pharmacological effects."
Erythroxylum divaricatum,"Erythroxylum divaricatum is a coca plant species found in South America. It is recognized for its specific characteristics, and like other members of the Erythroxylum genus, it contains alkaloids."
Fraxinus paxiana,"Fraxinus paxiana, commonly known as Pax's ash, is a species of ash tree native to China. It is characterized by its pinnately compound leaves and is part of the Oleaceae family."
Eryngium alpinum,"Eryngium alpinum, commonly known as alpine sea holly, is a herbaceous perennial native to Europe. It is recognized for its spiky, blue to violet flowers and is part of the Apiaceae family."
Salvia elegans,"Salvia elegans, commonly known as pineapple sage, is a species of sage native to Mexico and Guatemala. It is cultivated for its aromatic foliage and red tubular flowers."
Erythroxylum glaucum,"Erythroxylum glaucum is a plant species within the coca genus found in South America. Like other members of the Erythroxylum genus, it contains alkaloids with potential pharmacological effects."
Caryocar brasiliense,"Caryocar brasiliense, commonly known as pequi, is a species of tree native to Brazil. It is recognized for its edible fruits and is part of the Caryocaraceae family."
Erigeron philadelphicus,"Erigeron philadelphicus, also known as Philadelphia fleabane, is a species of flowering plant in the aster family (Asteraceae). It is native to North America and is recognized for its daisy-like flowers."
Arabis nemorensis,Arabis nemorensis is a species of rock-cress native to Europe. It is recognized for its small white flowers and is part of the Brassicaceae family.
Erythroxylum havanense,"Erythroxylum havanense is a plant species within the coca genus, native to Cuba. Like other members of the Erythroxylum genus, it contains alkaloids with potential pharmacological effects."
Erythroxylum anguifugum,"Erythroxylum anguifugum is a plant species within the coca genus found in South America. Like other members of the Erythroxylum genus, it contains alkaloids with potential pharmacological effects."
Vernicia montana,"Vernicia montana, commonly known as Indian oak, is a species of tree native to East Asia. It is recognized for its distinctive heart-shaped leaves and is part of the Euphorbiaceae family."
Mandevilla sanderi x Mandevilla atroviolacea,Mandevilla sanderi x Mandevilla atroviolacea is a hybrid between Mandevilla sanderi and Mandevilla atroviolacea. The resulting plant may exhibit a combination of traits from both parent species and is likely to belong to the Apocynaceae family.
Citrus x paradisi x Citrus trifoliata,Citrus x paradisi x Citrus trifoliata is a hybrid between Citrus x paradisi (grapefruit) and Citrus trifoliata (trifoliate orange). The resulting plant may exhibit a combination of traits from both parent species and is likely to belong to the Rutaceae family.
Erythroxylum densum,"Erythroxylum densum is a plant species within the coca genus found in South America. Like other members of the Erythroxylum genus, it contains alkaloids with potential pharmacological effects."
Pereskia humboldtii,"Pereskia humboldtii is a species of cactus native to South America. It is recognized for its distinctive, flat, leaf-like stems and is part of the Cactaceae family."
Boechera puberula,"Boechera puberula, also known as hairy rockcress, is a species of flowering plant in the mustard family (Brassicaceae). It is native to North America and is recognized for its small white flowers."
Erythroxylum lineolatum,"Erythroxylum lineolatum is a coca plant species found in South America. It is recognized for its specific characteristics, and like other members of the Erythroxylum genus, it contains alkaloids."
Heliophila coronopifolia,"Heliophila coronopifolia is a species of flowering plant in the mustard family (Brassicaceae), native to southern Africa. It is recognized for its showy purple flowers and is part of the Heliophila genus."
Galium porrigens var. tenue,"Galium porrigens var. tenue is a variety of Galium porrigens, a species of bedstraw native to Europe. It is recognized for its slender stems and small white flowers and is part of the Rubiaceae family."
Erythroxylum kunthianum,"Erythroxylum kunthianum is a plant species within the coca genus found in South America. Like other members of the Erythroxylum genus, it contains alkaloids with potential pharmacological effects."
Erythroxylum gonoclados,"Erythroxylum gonoclados is a plant species within the coca genus found in South America. Like other members of the Erythroxylum genus, it contains alkaloids with potential pharmacological effects."
Croton setiger,"Croton setiger is a species of flowering plant in the spurge family (Euphorbiaceae), native to tropical regions. It is recognized for its distinctive spines and is part of the Croton genus."
Cochlearia officinalis,"Cochlearia officinalis, also known as common scurvygrass, is a species of flowering plant in the mustard family (Brassicaceae). It is native to coastal regions of Europe and is recognized for its succulent leaves."
Rudbeckia hirta,"Rudbeckia hirta, commonly known as black-eyed Susan, is a species of flowering plant in the aster family (Asteraceae). It is native to North America and is cultivated for its bright yellow flowers."
Macarthuria australis,"Macarthuria australis is a species of flowering plant in the sunflower family (Asteraceae), native to Australia. It is recognized for its daisy-like flowers and is part of the Macarthuria genus."
Campomanesia xanthocarpa,"Campomanesia xanthocarpa, commonly known as gabiroba, is a species of flowering plant native to Brazil. It is recognized for its edible fruits and is part of the Myrtaceae family."
Geranium maculatum,"Geranium maculatum, also known as wild geranium or spotted geranium, is a species of flowering plant in the geranium family (Geraniaceae). It is native to North America and is recognized for its pink to purple flowers."
Erythroxylum kapplerianum,"Erythroxylum kapplerianum is a plant species within the coca genus found in South America. Like other members of the Erythroxylum genus, it contains alkaloids with potential pharmacological effects."
Microtea debilis,"Microtea debilis is a species of flowering plant in the sunflower family (Asteraceae), native to South America. It is recognized for its small white flowers and is part of the Microtea genus."
Erythroxylum daphnites,"Erythroxylum daphnites is a plant species within the coca genus, native to South America. Like other members of the Erythroxylum genus, it contains alkaloids with potential pharmacological effects."
Ruellia speciosa,"Ruellia speciosa, also known as Brazilian petunia, is a species of flowering plant native to Brazil. It is cultivated for its showy purple flowers and is part of the Acanthaceae family."
Rubia rechingeri,"Rubia rechingeri is a species of madder native to Iran. It is known for its climbing or trailing growth habit and small, yellow flowers."
Magnolia ashei,"Magnolia ashei is a species of magnolia native to the southeastern United States. It is recognized for its large, fragrant flowers and is part of the Magnoliaceae family."
Erythroxylum confusum,"Erythroxylum confusum is a coca plant species found in South America. It is recognized for its specific characteristics, and like other members of the Erythroxylum genus, it contains alkaloids."
Eperua falcata,"Eperua falcata is a species of flowering plant in the pea family (Fabaceae), native to South America. It is recognized for its distinctive, winged fruits and is part of the Eperua genus."
Cereus fernambucensis,"Cereus fernambucensis is a species of columnar cactus native to Brazil. It is recognized for its tall, cylindrical stems and is part of the Cactaceae family."
Aleurites moluccanus,"Aleurites moluccanus, commonly known as candlenut or kukui nut, is a species of tree native to Southeast Asia. It is recognized for its seeds, which are used to produce oil, and is part of the Euphorbiaceae family."
Physaria ovalifolia,"Physaria ovalifolia is a species of flowering plant in the mustard family (Brassicaceae), native to North America. It is recognized for its small yellow flowers and distinctive, bladder-like fruits."
Acalypha hispida,"Acalypha hispida, also known as the chenille plant or red hot cat's tail, is a species of flowering plant native to Southeast Asia. It is cultivated for its long, red inflorescences and is part of the Euphorbiaceae family."
Codiaeum variegatum,"Codiaeum variegatum, commonly known as croton, is a species of flowering plant in the spurge family (Euphorbiaceae), native to Indonesia, Malaysia, and Australia. It is cultivated for its colorful foliage and is part of the Codiaeum genus."
Iris sibirica,Iris sibirica is a species of iris native to Europe and Asia. It is recognized for its showy blue to violet flowers and is part of the Iridaceae family.
Physaria acutifolia,"Physaria acutifolia is a species of flowering plant in the mustard family (Brassicaceae), native to North America. It is recognized for its small yellow flowers and distinctive, bladder-like fruits."
Noccaea goesingensis,"Noccaea goesingensis is a plant species belonging to the Noccaea genus. Native to certain regions, it is recognized for specific features that characterize its growth and appearance."
Euphorbia neoarborescens,"Euphorbia neoarborescens is a species within the Euphorbia genus, known for its tree-like growth habit. It is native to certain regions and is recognized for its distinctive characteristics."
Penstemon grinnellii,"Penstemon grinnellii is a species of penstemon, a flowering plant native to specific areas. It is distinguished by its unique features, including the appearance of its flowers."
Penstemon centranthifolius,"Penstemon centranthifolius is another species within the penstemon genus, known for specific characteristics that differentiate it. Its appearance, especially the structure of its flowers, sets it apart."
Euphorbia biselegans,"Euphorbia biselegans is a species within the Euphorbia genus, recognized for certain distinctive features. These features may include aspects of its growth habit, foliage, or reproductive structures."
Stillingia texana,"Stillingia texana is a plant species native to certain regions. It is recognized for specific characteristics that define its appearance, growth pattern, or other botanical features."
Euphorbia guentheri,"Euphorbia guentheri is another species within the Euphorbia genus, distinguished by certain characteristics. These may include aspects of its morphology, habitat, or other botanical traits."
Euphorbia lomelii,"Euphorbia lomelii is a species within the Euphorbia genus, known for specific features that set it apart. These features could be related to its growth, reproductive structures, or other botanical attributes."
Flueggea neowawraea,"Flueggea neowawraea is a plant species recognized for certain botanical features. These features may include aspects of its growth habit, foliage, or other characteristics that define its appearance."
Limeum aethiopicum,"Limeum aethiopicum is a plant species known for specific characteristics. These may include aspects of its morphology, habitat, or other botanical traits that distinguish it."
Bocquillonia castaneifolia,"Bocquillonia castaneifolia is a plant species recognized for specific features that define its appearance, growth pattern, or other botanical traits."
Cnidoscolus chayamansa,"Cnidoscolus chayamansa is a plant species known for certain distinctive features. These features could include aspects of its growth habit, foliage, or other botanical attributes."
Spergula arvensis,"Spergula arvensis is a plant species recognized for specific botanical features. These features may include aspects of its growth habit, flowers, or other traits that define its appearance."
Euphorbia corollata,"Euphorbia corollata is a species within the Euphorbia genus, known for specific features that set it apart. These features could be related to its growth habit, reproductive structures, or other botanical attributes."
Ruscus hypophyllum,"Ruscus hypophyllum is a plant species recognized for specific botanical features. These features may include aspects of its growth habit, foliage, or other characteristics that distinguish it."
Dalechampia spathulata,"Dalechampia spathulata is a species within the Dalechampia genus, known for certain distinctive features. These features could include aspects of its growth habit, flowers, or other botanical attributes."
Exbucklandia tonkinensis,"Exbucklandia tonkinensis is a plant species recognized for specific features that define its appearance, growth pattern, or other botanical traits."
Euphorbia celastroides,"Euphorbia celastroides is a species within the Euphorbia genus, known for certain distinctive features. These features may include aspects of its growth habit, foliage, or other botanical attributes."
Rhodoleia championii,"Rhodoleia championii is a plant species recognized for specific botanical features. These features may include aspects of its growth habit, flowers, or other traits that define its appearance."
Breynia disticha f. nivosa,"Breynia disticha f. nivosa is a variety of the Breynia disticha species, known for certain botanical features. These features could include aspects of its growth habit, foliage, or other characteristics."
Trifolium medium,"Trifolium medium is a plant species recognized for specific features that define its appearance, growth pattern, or other botanical traits."
Silphium perfoliatum,"Silphium perfoliatum is a species within the Silphium genus, known for certain distinctive features. These features may include aspects of its growth habit, flowers, or other botanical attributes."
Oryza sativa Indica Group,"Oryza sativa Indica Group is a cultivated variety of rice, known for specific characteristics related to its use in agriculture and human consumption."
Ziziphus jujuba,"Ziziphus jujuba is a plant species known for specific features that define its appearance, growth pattern, or other botanical traits."
Daucus carota,"Daucus carota is a plant species commonly known as the wild carrot. It is recognized for specific features, including the appearance of its edible root."
Oryza sativa,"Oryza sativa is the cultivated rice plant, known for its importance as a staple food crop worldwide. It is recognized for specific characteristics related to its cultivation and use."
Oryza sativa aus subgroup,"Oryza sativa aus subgroup is a cultivated variety of rice, known for specific characteristics related to its use in agriculture and human consumption."
Oryza sativa tropical japonica subgroup,"Oryza sativa tropical japonica subgroup is a cultivated variety of rice, known for specific characteristics related to its use in agriculture and human consumption."
Oryza sativa aromatic subgroup,"Oryza sativa aromatic subgroup is a cultivated variety of rice, known for specific characteristics related to its use in agriculture and human consumption."
Zea mays subsp. mays,"Zea mays subsp. mays is the cultivated variety of maize, known for its importance as a staple food crop worldwide."
Zea mays subsp. parviglumis,"Zea mays subsp. parviglumis is a subspecies of maize, known for its wild or ancestral form. It is recognized for specific characteristics related to its genetics and morphology."
Solanum lycopersicum var. cerasiforme,"Solanum lycopersicum var. cerasiforme is a variety of the cultivated tomato, known for specific characteristics related to its fruit size and shape."
Hordeum vulgare,"Hordeum vulgare is a plant species commonly known as barley, cultivated for its grains. It is recognized for specific characteristics related to its use as a cereal crop."
Hordeum vulgare subsp. spontaneum,"Hordeum vulgare subsp. spontaneum is a subspecies of barley, known for its wild or ancestral form. It is recognized for specific characteristics related to its genetics and morphology."
Brassica rapa subsp. pekinensis,"Brassica rapa subsp. pekinensis is a subspecies of Brassica rapa, known as Chinese cabbage. It is recognized for specific characteristics related to its use as a vegetable crop."
Brassica rapa subsp. chinensis,"Brassica rapa subsp. chinensis is a subspecies of Brassica rapa, known as bok choy or Chinese mustard. It is recognized for specific characteristics related to its use as a vegetable crop."
Brassica rapa subsp. trilocularis,"Brassica rapa subsp. trilocularis is a subspecies of Brassica rapa, known for specific botanical features. These features could include aspects of its growth habit, flowers, or other attributes."
Brassica rapa var. purpuraria,"Brassica rapa var. purpuraria is a variety of Brassica rapa, known for specific botanical features. These features could include aspects of its growth habit, flowers, or other attributes."
Camellia sinensis var. sinensis,"Camellia sinensis var. sinensis is a variety of the tea plant, known for its importance in tea production. It is recognized for specific characteristics related to its leaves and the preparation of tea."
Camellia sinensis var. assamica,"Camellia sinensis var. assamica is another variety of the tea plant, known for specific characteristics related to its leaves and the production of Assam tea."
Camellia sinensis var. lasiocalyx,"Camellia sinensis var. lasiocalyx is a variety of the tea plant, recognized for specific characteristics related to its leaves and the preparation of tea."
Arachis hypogaea subsp. hypogaea,"Arachis hypogaea subsp. hypogaea is the cultivated variety of peanut, known for its importance as a food crop. It is recognized for specific characteristics related to its growth and the production of peanuts."
Arachis hypogaea subsp. fastigiata,"Arachis hypogaea subsp. fastigiata is a subspecies of peanut, known for specific characteristics related to its growth and the production of peanuts."
Capsicum annuum var. annuum,"Capsicum annuum var. annuum is a variety of the cultivated pepper plant, known for specific characteristics related to its fruit size, shape, and pungency."
Capsicum annuum var. glabriusculum,"Capsicum annuum var. glabriusculum is a variety of the wild chili pepper, known for specific characteristics related to its genetics and morphology."
Brassica oleracea,"Brassica oleracea is a plant species that includes various cultivated forms, such as cabbage, broccoli, and cauliflower. It is recognized for specific characteristics related to its use as a vegetable crop."
Brassica oleracea var. capitata,"Brassica oleracea var. capitata is a variety of Brassica oleracea, commonly known as cabbage. It is recognized for specific characteristics related to its compact head of leaves."
Cucumis melo subsp. agrestis,"Cucumis melo subsp. agrestis is a subspecies of Cucumis melo, known for certain botanical features. These features could include aspects of its growth habit, flowers, or other attributes."
Cucumis melo var. inodorus,"Cucumis melo var. inodorus is a variety of Cucumis melo, recognized for specific characteristics. These characteristics may include aspects of its fruit size, shape, or other botanical traits."
Musa acuminata var. zebrina,"Musa acuminata var. zebrina is a variety of Musa acuminata, recognized for specific characteristics related to its appearance, such as the distinctive striped pattern on its pseudostems."
Olea europaea subsp. europaea,"Olea europaea subsp. europaea is a subspecies of Olea europaea, known for certain botanical features. These features may include aspects of its leaves, fruit, or other traits that define its appearance."
Olea europaea subsp. cuspidata,"Olea europaea subsp. cuspidata is another subspecies of Olea europaea, distinguished by specific characteristics related to its growth habit, leaves, or other botanical attributes."
Brassica juncea var. tumida,"Brassica juncea var. tumida is a variety of Brassica juncea, recognized for specific botanical features. These features could include aspects of its growth habit, flowers, or other attributes."
Citrullus lanatus subsp. cordophanus,"Citrullus lanatus subsp. cordophanus is a subspecies of Citrullus lanatus, known for certain distinctive features. These features may include aspects of its growth habit, fruits, or other botanical attributes."
Raphanus sativus var. raphanistroides,"Raphanus sativus var. raphanistroides is a variety of Raphanus sativus, recognized for specific characteristics. These characteristics may include aspects of its roots, leaves, or other botanical traits."
Raphanus sativus var. oleiformis,"Raphanus sativus var. oleiformis is another variety of Raphanus sativus, distinguished by specific characteristics related to its growth habit, leaves, or other botanical attributes."
Raphanus sativus var. niger,"Raphanus sativus var. niger is a variety of Raphanus sativus, known for specific botanical features. These features could include aspects of its growth habit, flowers, or other attributes."
Raphanus sativus var. caudatus,"Raphanus sativus var. caudatus is a variety of Raphanus sativus, recognized for specific characteristics. These characteristics may include aspects of its roots, leaves, or other botanical traits."
Actinidia chinensis var. chinensis,"Actinidia chinensis var. chinensis is a variety of Actinidia chinensis, known for certain botanical features. These features may include aspects of its growth habit, leaves, or other traits that define its appearance."
Vigna unguiculata subsp. sesquipedalis,"Vigna unguiculata subsp. sesquipedalis is a subspecies of Vigna unguiculata, recognized for specific botanical features. These features could include aspects of its growth habit, flowers, or other attributes."
Arabidopsis lyrata subsp. petraea,"Arabidopsis lyrata subsp. petraea is a subspecies of Arabidopsis lyrata, known for certain botanical features. These features may include aspects of its growth habit, flowers, or other traits that define its appearance."
Ananas comosus var. bracteatus,"Ananas comosus var. bracteatus is a variety of Ananas comosus, recognized for specific botanical features. These features could include aspects of its growth habit, leaves, or other attributes."
Aegilops tauschii,"Aegilops tauschii is a plant species known for certain botanical features. These features may include aspects of its growth habit, flowers, or other traits that distinguish it."
Pueraria montana,"Pueraria montana is a plant species recognized for specific features that define its appearance, growth pattern, or other botanical traits."
Boehmeria nivea,"Boehmeria nivea is a plant species known for certain botanical features. These features may include aspects of its growth habit, leaves, or other traits that distinguish it."
Vigna angularis var. angularis,"Vigna angularis var. angularis is a variety of Vigna angularis, recognized for specific botanical features. These features could include aspects of its growth habit, flowers, or other attributes."
Avicennia marina subsp. marina,"Avicennia marina subsp. marina is a subspecies of Avicennia marina, known for certain botanical features. These features may include aspects of its growth habit, leaves, or other traits that define its appearance."
Vigna mungo,"Vigna mungo is a plant species recognized for specific botanical features. These features could include aspects of its growth habit, flowers, or other attributes."
Mucuna pruriens var. utilis,"Mucuna pruriens var. utilis is a variety of Mucuna pruriens, recognized for specific characteristics. These characteristics may include aspects of its growth habit, seeds, or other botanical traits."
Panicum hallii var. hallii,"Panicum hallii var. hallii is a variety of Panicum hallii, known for certain botanical features. These features may include aspects of its growth habit, inflorescence, or other traits that define its appearance."
Aegilops speltoides subsp. speltoides,"Aegilops speltoides subsp. speltoides is a subspecies of Aegilops speltoides, recognized for specific botanical features. These features could include aspects of its growth habit, flowers, or other attributes."
Capsicum baccatum,"Capsicum baccatum is a plant species known for certain botanical features. These features may include aspects of its growth habit, flowers, or other traits that distinguish it."
Raphanus raphanistrum,"Raphanus raphanistrum is a plant species recognized for specific botanical features. These features may include aspects of its growth habit, flowers, or other traits that define its appearance."
Raphanus raphanistrum subsp. landra,"Raphanus raphanistrum subsp. landra is a subspecies of Raphanus raphanistrum, known for certain botanical features. These features may include aspects of its growth habit, flowers, or other traits that distinguish it."
Cucurbita argyrosperma subsp. argyrosperma,"Cucurbita argyrosperma subsp. argyrosperma is a subspecies of Cucurbita argyrosperma, recognized for specific botanical features. These features could include aspects of its growth habit, fruits, or other attributes."
Oryza sativa f. spontanea,"Oryza sativa f. spontanea is a form of Oryza sativa, known for certain botanical features. These features may include aspects of its growth habit, seeds, or other traits that define its appearance."
Vitis vinifera subsp. sylvestris,"Vitis vinifera subsp. sylvestris is a subspecies of Vitis vinifera, known for certain botanical features. These features may include aspects of its growth habit, leaves, or other traits that distinguish it."
Solanum tuberosum subsp. andigenum,"Solanum tuberosum subsp. andigenum is a subspecies of Solanum tuberosum, recognized for specific botanical features. These features could include aspects of its growth habit, flowers, or other attributes."
Brassica rapa subsp. rapa,"Brassica rapa subsp. rapa is a subspecies of Brassica rapa, known for certain botanical features. These features may include aspects of its growth habit, flowers, or other traits that define its appearance."
Cucumis melo var. makuwa,"Cucumis melo var. makuwa is a variety of Cucumis melo, recognized for specific botanical features. These features could include aspects of its growth habit, flowers, or other attributes."
Manihot esculenta subsp. flabellifolia,"Manihot esculenta subsp. flabellifolia is a subspecies of Manihot esculenta, known for certain botanical features. These features may include aspects of its growth habit, leaves, or other traits that distinguish it."
